ลำดันที่2023,ลำดันที่2024,ยอดขายปี 2024 (MB),ชื่อสินค้า (ชื่อการค้า),สารสําคัญ,ชื่อสาร,กลุ่มสาร,Strategy Group,Formulation,ลักษณะกายภาพ,คุณสมบัติเด่น (Selling point),การดูดซึมเข้าสู่พืช,กลไกการออกฤทธิ์,ลักษณะการออกฤทธิ์,ศัตรูพืชที่กำจัดได้,ใช้ได้กับพืช,วิธีใช้,ช่วงการใช้,อัตราการใช้,ความเป็นพิษต่อพืชประธาน,แถบสีข้างฉลาก,หมายเลขทะเบียน,วันทะเบียนหมดอายุ,ประเภททะเบียนผลิต,แหล่งนำเข้าสินค้า,Link ของทะเบียนสินค้า
29,23,11,คาริสมา,PROPAMOCARB HYDROCHLORIDE 72.2% W/V SL,โพรพาโมคาร์บ ไฮโดรคลอไรด์,Fungicide,Skyrocket,SL,น้ำ,ใช้ในการป้องกันกำจัดโรค รากเน่าโคนเน่า จากเชื้อราสาเหตุ Phytophthora plamivola สูตรSL น้ำใส ปลอดภัย ออกฤทธิไว ต้นฟื้นได้เร็ว ใช้ได้ทั้งพ่นทางใบหรือทางดิน ,Systemic ออกฤทธิ์แบบดูดซึม ,"28 : Carbamates : F4 cell membrane permeability, fatty acids (proposed)
",ออกฤทธิ์แบบดูดซึม สามารถใช้ป้องกันกำจัดโรคได้ทั้งทางใบ และทางดิน,โรครากเน่าโคนเน่า ที่เกิดจากเชื้อราชั้นต่ำที่อยู่ในดิน เช่น  Phytophthora plamivola หรือ Pythium spp.,พืชไร่ เช่น มันฝรั่ง  ไม้ผล เช่น ทุเรียน   และกลุ่มพืชผัก,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ใบและต้นให้ทั่วถึง   หรือฉีดพ่นผิวดินที่บริเวณใต้ทรงพุ่ม,ใช้ป้องกันการเกิดโรคได้ทุกระยะ,300 ซีซีต่อ 200 ลิตร,ปลอดภัยสูง,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//propamocarb%2072.2%20SL_%E0%B8%84%E0%B8%B2%E0%B8%A3%E0%B8%B4%E0%B8%AA%E0%B8%A1%E0%B8%B2_17012021_142656.pdf
-,24,10,อาร์เทมีส,DIFENOCONAZOLE + AZOXYSTROBIN 12.5%+20% W/V SC,ไดฟีโนโคนาโซล + อะซ๊อคซีสโตรบิน,Fungicide,Skyrocket,SC,น้ำ,ออกฤทธิ์ 2 กลุ่ม ,Systemic ออกฤทธิ์แบบดูดซึม ,"3 : imidazoles (G: sterol biosynthesis in membranes)
+ 11 :Strobilurin ยับยั้งการหายใจของเชื้อราในไมโตคอนเดรีย สารในกลุ่มนี้จะจับกับ Complex III (Cytochrome bc1 complex) ที่ตำแหน่ง Qo (Quinone outside site) ของไมโตคอนเดรียในเซลล์เชื้อรา การจับนี้จะ ยับยั้งการถ่ายโอนอิเล็กตรอน ในกระบวนการสร้างพลังงาน (oxidative phosphorylation) ทำให้ การสร้าง ATP ถูกหยุดลง ส่งผลให้เชื้อราไม่สามารถเจริญเติบโตและตายในที่สุด",ออกฤทธิ์แบบดูดซึม สามารถป้องกันกำจัดโรคได้กว้างขวาง,โรคใบจุดสีน้ำตาล โรคใบขีดสีน้ำตาล โรคเมล็ดด่าง ในนาข้าว,นาข้าว            ไม้ผล,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ต้น ให้ทั่วบริเวณทรงพุ่ม,,ในไม้ผล(ทุเรียน) ใช้ 200 ซีซีต่อ 200 ลิตร ในนาข้าว ใช้ 50 ซีซีต่อไร่,ปลอดภัยสูง,สีเหลือง,,,,,http://system.icpladda.com/CDN//difeno_azoxystrobin_%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%97%E0%B8%A1%E0%B8%B4%E0%B8%AA_07042025_213519.pdf
15,25,10,เลกาซี 20 + พานาส,BISPYRIBAC-SODIUM 20% WP,บิสไพรีแบค โซเดียม 20 + สารจับใบเสริมประสิทธิภาพ,Herbicide,Expand,WP,ผง,1. มีความปลอดภัยต่อข้าว สามารถฉีดจี้ ฉีดซ้ำได้  จะไปยับยั้งการสารกรดอะมิโน อาการตายของหญ้าคือ จะเริ่มเหลืองและตายย่อยไปในที่สุด จึงทำให้ข้าวนั้นยังเขียวตลอด  2. มี Panas ซึ่งเป็นสารเพิ่มประสิทธิภาพช่วยให้Bispyribac  ถูกดูดซึมได้ไว และลดการชะล้างของฝน  3. เนื้อสารเป็นผงละเอียดสีขาว ละลายน้ำได้ดี มีฟองเยอะ ไม่มีตะกอน,Systemic ออกฤทธิ์แบบดูดซึม ,B Pyrimidinyl benzoates: Inhibition of Acetolactate Synthase,ออกฤทธื์ยับยั้งการสังเคราะกรดอะมิโนในวัชพืช อาการตายของหญ้าคือ จะเริ่มเหลืองและตายย่อยไปในที่สุด จึงทำให้ข้าวนั้นยังเขียวตลอด ,ในนาข้าว : วัชพืชใบแคบ เช่น หญ้าข้าวนก หญ้าแดง(กระดูกไก่) วัชพืชใบกว้าง และกก,นาข้าว,ผสมน้ำฉีดพ่นที่ใบของวัชพืชให้ทั่วถึง ,ใช้ร่วมกับยาคุม เช่น Butachlor + propanil ในระยะคุม-ฆ่า (7-10 วัน) หรือใช้ฉีดเก็บวัชพืช ในระยะ ข้าวอายุ 10-15 วัน ,20-40 กรัม ต่อไร่,ปลอดภัย ไม่มีความเป็นพิษต่อข้าว,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//bispyribac%2020%20WP_%E0%B9%80%E0%B8%A5%E0%B8%81%E0%B8%B2%E0%B8%8B%E0%B8%B5%20%2020_05022024_102325.pdf
25,26,10,แจ๊ส 50 อีซี,FENOBUCARB 50% EC,ฟีโนบูคาร์บ 50 EC,Insecticide,Natural,EC,น้ำ,ออกฤทธิ์แบบสัมผัสตาย แบบ Fast Knockdown เป็นยาน็อค ออกฤทธิ์เร็ว,Contact ออกฤทธิ์แบบสัมผัส,1A : Acetylcholinesterase (AChE) inhibitors,ออกฤทธิ์แบบสัมผัสตาย แบบ Fast Knockdown เป็นยาน็อค ออกฤทธิ์เร็ว,ใช้ป้องกันกำจัด  เพลี้ยกระโดดสีน้ำตาล เพลี้ยกระโดดหลังขาว เพลี้ยจักจั่นเขียว ,ปลอดภัยใช้ได้ทุกพืช,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ต้น ให้ทั่วบริเวณทรงพุ่ม,นาข้าว : ใช้กำจัดเพลี้ยกระโดดสีน้ำตาล ในระยะข้าวอายุ 20 วัน              ไม้ผล : ป้องกันแมลงได้ใน ทุกระยะ เช่น ระยะแตกใบอ่อน ระยะดอก ระยะติดผล,100-200 ซีซี ต่อน้ำ 200 ลิตร,ปลอดภัย,สีเหลือง,,,,,http://system.icpladda.com/CDN//fenobucarb%2050%20EC_%E0%B9%81%E0%B8%88%E0%B9%8A%E0%B8%AA%2050%20%E0%B8%AD%E0%B8%B5%E0%B8%8B%E0%B8%B5_16092024_094145.pdf
-,26,9,,BROMADIOLONE 0.005% W/W (LIVE STOCK),,,,,,,,,,,,,,,,สีน้ำเงิน,,,,,
26,27,9,ซีเอ็มจี,ABAMECTIN 1.8% W/V EC (BROWN),อะบาเมกติน,Insecticide,Natural,EC,น้ำ,เป็นยาพื้นฐานที่สามารถกำจัดแมลงได้ดีหลากหลายชนิด,Translaminar ออกฤทธิ์แบบแทรกซึม ,6 : Glutamate-gated chloride channel (GluCl) allosteric modulators,ออกฤทธิ์ทั้งแบบสัมผัสตาย กินตาย  ออกฤทธิ์กำจัดแมลงที่ระบบประสาทและกล้ามเนื้อของแมลง,เพลี้ยไฟ หนอน แมลงปากกัด แมลงปากดูดต่างๆ,ปลอดภัยใช้ได้ทุกพืช ยกเว้นห้ามใช้ในนาข้าว,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ต้น ให้ทั่วบริเวณทรงพุ่ม,ป้องกันหนอนและแมลงได้ใน ทุกระยะ เช่น ระยะแตกใบอ่อน ระยะดอก ระยะติดผล,100-200 ซีซี ต่อน้ำ 200 ลิตร,ปลอดภัย,สีเหลือง,,,,,http://system.icpladda.com/CDN//abamectin%201.8%20EC_%E0%B8%8B%E0%B8%B5%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1%E0%B8%88%E0%B8%B5_18062024_140732.pdf
16,28,9,ซิมเมอร์,"2,4-D-DIMETHYLAMMONIUM 84% W/V SL","2,4-ดี ไดเมททิลแอมโมเนียม",Herbicide,Natural,SL,น้ำ,สูตรน้ำใช้ง่าย ปลอดภัยกว่าสูตรผง กำจัดวัชพืชใบกว้างและกก ในนาข้าว ประสิทธิภาพดี ประหยัดต้นทุนของเกษตรกร ,Systemic ออกฤทธิ์แบบดูดซึม , O : Auxin Mimics," 2,4-D ทำงานโดยเลียนแบบฮอร์โมนพืชธรรมชาติที่เรียกว่า ออกซิน (Auxin) ซึ่งเป็นฮอร์โมนที่ควบคุมการเจริญเติบโตของพืช
 • สารนี้กระตุ้นการเจริญเติบโตในอัตราที่ผิดปกติในวัชพืช ทำให้เซลล์เติบโตเกินปกติจนเสียสมดุล ส่งผลให้เซลล์แตกและเนื้อเยื่อพังทลาย
 • กระบวนการนี้ทำให้พืชแสดงอาการเหี่ยวเฉา ใบม้วน และตายในที่สุด",วัชพืชใบกว้าง และกก ,พืชไร่ เช่น อ้อย ข้วโพด   และ นาข้าว,ผสมน้ำฉีดพ่นที่ใบของวัชพืชให้ทั่วถึง และ ระวังไม่ให้ละอองปลิวไปโดนพืชประธานและ พืชใกล้เคียง,"• ควรพ่นสาร หลังวัชพืชงอก และมีใบ 3-5 ใบ หรือวัชพืชมีอายุ 10-20 วัน
 • ในข้าวนาหว่านน้ำตม ควรพ่นสารหลังข้าวงอกประมาณ 20-25 วัน
 • ควรมีน้ำขังในแปลงนาประมาณ 3-5 ซม. เพื่อช่วยลดการกระจายของสารเคมีลงดิน",ใช้ในอัตรา 200-400 ซีซี/ไร่ ผสมกับน้ำประมาณ 60-80 ลิตร แล้วพ่นให้ทั่วพื้นที่,"1. ไม่ควรพ่นในพื้นที่ที่ลมแรง เพราะละอองสารอาจปลิวไปยังพืชที่ไม่ต้องการกำจัด เช่น พืชใบกว้างชนิดอื่น
 2. ใช้ในอัตราที่แนะนำเพื่อป้องกันการตกค้างและผลกระทบต่อข้าว
 3. หลีกเลี่ยงการใช้ในระยะที่ข้าวอ่อนเกินไป (ข้าวอายุ < 15 วัน) เพราะอาจเกิดความเสียหายกับต้นข้าว",สีน้ำเงิน,,,,,"http://system.icpladda.com/CDN//2,4-D%20dimethyl_%E0%B8%8B%E0%B8%B4%E0%B8%A1%E0%B9%80%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B9%8C_31012024_105947.pdf"
30,29,8,ไซม๊อกซิเมท ,CYMOXANIL + MANCOZEB 8% + 64% WP,ไซม๊อคซานิล + แมนโคเซ็บ,Fungicide,Skyrocket,WP,ผง,ออกฤทธิ์ 2 ทาง ทั้งสัมผัสและดูดซึม ใช้ในการป้องกันกำจัดโรค จากเชื้อราสาเหตุ Phytophthora  ใช้ได้ทั้งพ่นทางใบหรือ ใช้พ่นหรือทาปิดแผลบริเวณที่ถากทาจุดที่เกิดโรค ,Contact ออกฤทธิ์แบบสัมผัส + Systemic ออกฤทธิ์แบบดูดซึม ,27 : Unknown mode of action + M 03 : dithio-carbamates (M: Chemicals with multi-site activity),ออกฤทธิ์ 2 ทาง ทั้งสัมผัสและดูดซึม ใช้ในการป้องกันกำจัดโรค,ป้องกันโรคเชื้อรา เช่น แอนแทรคโนส ใบไหม้ ใบจุดสนิม  ราน้ำค้าง  และ โรค ไฟทอปธอร่า ในทุเรียน ที่ระยะใบ  และผล,พืชไร่ เช่น มันฝรั่ง  ไม้ผล เช่น ทุเรียน   และกลุ่มพืชผัก,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ต้น ให้ทั่วบริเวณทรงพุ่ม,ใช้ป้องกันการเกิดโรคได้ทุกระยะ,200 กรัมต่อ 200 ลิตร,ปลอดภัย,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//cymoxanil_mancozeb_%E0%B9%84%E0%B8%8B%E0%B8%A1%E0%B9%8A%E0%B8%AD%E0%B8%81%E0%B8%8B%E0%B8%B4%E0%B9%80%E0%B8%A1%E0%B8%97_29042025_112800.pdf
34,30,8,พรีดิคท์ 15,PACLOBUTRAZOL 15% WP,แพคโคบิวทราโซล,PGR,Expand,WP,ผง,1. เป็นแบรนด์ที่เกษตรกรรู้จักมายาวนานมากกว่า 30 ปี 2. เกษตรกรมั่นใจในคุณภาพของสินค้า  3. สินค้าพรีดิคท์ นำ Tech นำเข้ามาผลิตเอง ด้วยสูตรแบบฉบับ ICPL และ FG ทางโรงงานก็นำมาปั่น ให้เนื้อยาผง เบาฟู มีขนาดของอนุภาคที่เล็ก 45 ไมครอน สามารถควบคุมเรื่อง % ของยาได้ตลอด  4. เนื้อยาละเอียด ผงเบาฟู ละลายน้ำง่าย ไม่ตกตะกอนง่าย เวลาราดสารไม่เหลือตตะกอน และคราบสีขาวให้เห็น,Systemic ออกฤทธิ์แบบดูดซึม ,PGR (Plants Growth Regulator) ช่วยยับยั้งการทำงานของ Gib ลดการแตกใบอ่อน ช่วยเพิ่มปริมาณการออกดอก,ใช้ควบคุมการเจริญเติบโตของพืช สามารถดูดซึมผ่านทางรากและทางใบ ราดทางดินจะดูดซึมได้ดีและเร็วกว่า เพิ่มความเขียวของใบ สะสมแป้ง และน้ำตาล เร่งใบให้แก่ พัฒนาตาดอก,ยับยั้งการแตกใบอ่อน,"ทุเรียน , มะม่วง",ผสมน้ำฉีดพ่นบริเวณที่ใบให้ทั่วทรงพุ่ม,ทุเรียน : ใช้พ่นที่ใบ ในระยะใบเพสลาด,ทุเรียน : ใช้อัตรา 1-1..5 กิโลกรัม.ผสมน้ำ 200 ลิตร ฉ๊ดพ่นในพื้นที่ 1 ไร่                                             มะม่วง 6-7 กรัม ต่อเส้นผ่าศูนย์กลางทรงพุ่ม 1 เมตร,ปลอดภัย,สีเหลือง,293-2564,,,,http://system.icpladda.com/CDN//paclobutrazol%2015%20WP_%E0%B8%9E%E0%B8%A3%E0%B8%B5%E0%B8%94%E0%B8%B4%E0%B8%84%E0%B8%97%E0%B9%8C%2015_11022021_102436.pdf
,,,,,,,,,,,,,,,,,,,,สีน้ำเงิน,,,,,
-,31,7,วอร์แรนต์,FOSETYL-ALUMINIUM 80% WG,ฟอสอีทิล อะลูมินั่ม,Fungicide,Standard,WG,ผง,ออกฤทธิ์ 2 ทาง ทั้งสัมผัสและดูดซึม ใช้ในการป้องกันกำจัดโรค จากเชื้อราสาเหตุ Phytophthora  ใช้ได้ทั้งพ่นทางใบหรือ ใช้พ่นหรือทาปิดแผลบริเวณที่ถากทาจุดที่เกิดโรค ,Contact ออกฤทธิ์แบบสัมผัส + Systemic ออกฤทธิ์แบบดูดซึม ,27 : Unknown mode of action + M 03 : dithio-carbamates (M: Chemicals with multi-site activity),ออกฤทธิ์ 2 ทาง ทั้งสัมผัสและดูดซึม ใช้ในการป้องกันกำจัดโรค,ป้องกันโรคเชื้อรา เช่น แอนแทรคโนส ใบไหม้ ใบจุดสนิม  ราน้ำค้าง  และ โรค ไฟทอปธอร่า ในทุเรียน ที่ระยะใบ  และผล,พืชไร่ เช่น มันฝรั่ง  ไม้ผล เช่น ทุเรียน   และกลุ่มพืชผัก,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ต้น ให้ทั่วบริเวณทรงพุ่ม,ใช้ป้องกันการเกิดโรคได้ทุกระยะ,200 กรัมต่อ 200 ลิตร,ปลอดภัย,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//fosetyl%2080%20WG_%E0%B8%A7%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%81%E0%B8%A3%E0%B8%99%E0%B8%95%E0%B9%8C_16112020_161258.pdf
-,32,7,เทอราโน่,DIFENOCONAZOLE + PROPICONAZOLE 15+15% EC,โพรพิโคนาโซล + โพรคลอราซ,Fungicide,Standard,EC,น้ำ,ออกฤทธิ์ 2 ตัวบวก นอกจากมีประสิทธิภาพที่ดีเยี่ยม ในการป้องกันกำจัดโรคในนาข้าวแล้ว ยังมีผลช่วยให้ข้าวเมล็ดใส ได้น้ำหนักดี,Systemic ออกฤทธิ์แบบดูดซึม ,"3+3 : imidazoles (G: sterol biosynthesis in membranes) กลไกการออกฤทธิ์หลัก: สารในกลุ่มนี้ ยับยั้งเอนไซม์ C14-demethylase (CYP51)

CYP51 เป็นเอนไซม์สำคัญในกระบวนการ สังเคราะห์อีร์โกสเตอรอล (ergosterol biosynthesis) ซึ่งเป็นองค์ประกอบหลักของเยื่อหุ้มเซลล์เชื้อรา

เมื่อถูกยับยั้งจะทำให้ การสร้างเยื่อหุ้มเซลล์ผิดปกติ → ความสมบูรณ์ของเซลล์เสีย → การเจริญเติบโตของเชื้อราถูกหยุด → เชื้อราตายในที่สุด",ออกฤทธิ์แบบดูดซึม ทั้งป้องกันและรักษาควบคุมโรคพืชที่เกิดจากเชื้อรา,โรคกาบใบแห้ง โรคกาบใบไหม้ โรคกาบใบเน่า โรคใบขีด ใบจุดสีน้ำตาล โรคเมล็ดด่าง โรคถอดฝักดาบ โรคดอกกระถิน โรคเน่าคอรวง,นาข้าว            ไม้ผล,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ต้น ให้ทั่ว,นาข้าวพ่นในระยะข้าวแตกกอจนถึงเก็บเกี่ยว,ในไม้ผล(ทุเรียน) ใช้ 200 ซีซีต่อ 200 ลิตร ในนาข้าว ใช้ 50 ซีซีต่อไร่ ในระยะข้าวเริ่มออกรวง 5%,ปลอดภัยสูง,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//difeno%20propico_%E0%B9%80%E0%B8%97%E0%B8%AD%E0%B8%A3%E0%B8%B2%E0%B9%82%E0%B8%99_28032025_112117.pdf
33,33,7,พรีดิคท์ 10%,PACLOBUTRAZOL 10% WP,แพคโคบิวทราโซล,PGR,Expand,WP,ผง,1. เป็นแบรนด์ที่เกษตรกรรู้จักมายาวนานมากกว่า 30 ปี 2. เกษตรกรมั่นใจในคุณภาพของสินค้า  3. สินค้าพรีดิคท์ นำ Tech นำเข้ามาผลิตเอง ด้วยสูตรแบบฉบับ ICPL และ FG ทางโรงงานก็นำมาปั่น ให้เนื้อยาผง เบาฟู มีขนาดของอนุภาคที่เล็ก 45 ไมครอน สามารถควบคุมเรื่อง % ของยาได้ตลอด  4. เนื้อยาละเอียด ผงเบาฟู ละลายน้ำง่าย ไม่ตกตะกอนง่าย เวลาราดสารไม่เหลือตตะกอน และคราบสีขาวให้เห็น,Systemic ออกฤทธิ์แบบดูดซึม ,PGR (Plants Growth Regulator) ช่วยยับยั้งการทำงานของ Gib ลดการแตกใบอ่อน ช่วยเพิ่มปริมาณการออกดอก,ใช้ควบคุมการเจริญเติบโตของพืช สามารถดูดซึมผ่านทางรากและทางใบ ราดทางดินจะดูดซึมได้ดีและเร็วกว่า เพิ่มความเขียวของใบ สะสมแป้ง และน้ำตาล เร่งใบให้แก่ พัฒนาตาดอก,ยับยั้งการแตกใบอ่อน,"ทุเรียน , มะม่วง",ผสมน้ำฉีดพ่นบริเวณที่ใบให้ทั่วทรงพุ่ม,ทุเรียน : ใช้พ่นที่ใบ ในระยะใบเพสลาด,ทุเรียน : ใช้อัตรา 2 กิโลกรัม.ผสมน้ำ 200 ลิตร ฉ๊ดพ่นในพื้นที่ 1 ไร่                                             มะม่วง 10 กรัม ต่อเส้นผ่าศูนย์กลางทรงพุ่ม 1 เมตร,ปลอดภัย,สีน้ำเงิน,235-2561,,,,http://system.icpladda.com/CDN//paclobutrazol%2010%20WP_%E0%B8%9E%E0%B8%A3%E0%B8%B5%E0%B8%94%E0%B8%B4%E0%B8%84%E0%B8%97%E0%B9%8C%2010_10032024_201056.pdf
-,34,7,รีโนเวท,PROPICONAZOLE 9% + PROCHLORAZ 40% EC,โพรพิโคนาโซล + โพรคลอราซ,Fungicide,Standard,EC,น้ำ,ออกฤทธิ์แบบดูดซึม ทั้งป้องกันและรักษา ควบคุมโรคพืชที่เกิดจากเชื้อราได้หลายชนิด ใช้ป้องกันกำจัด โรคกาบใบแห้ง โรคใบจุดสีน้ำตาล โรคเมล็ดด่าง โรคราดอกกระถิน โรคเน่าคอรวง ,Systemic ออกฤทธิ์แบบดูดซึม ,"3+3 : imidazoles (G: sterol biosynthesis in membranes) กลไกการออกฤทธิ์หลัก: สารในกลุ่มนี้ ยับยั้งเอนไซม์ C14-demethylase (CYP51)

CYP51 เป็นเอนไซม์สำคัญในกระบวนการ สังเคราะห์อีร์โกสเตอรอล (ergosterol biosynthesis) ซึ่งเป็นองค์ประกอบหลักของเยื่อหุ้มเซลล์เชื้อรา

เมื่อถูกยับยั้งจะทำให้ การสร้างเยื่อหุ้มเซลล์ผิดปกติ → ความสมบูรณ์ของเซลล์เสีย → การเจริญเติบโตของเชื้อราถูกหยุด → เชื้อราตายในที่สุด",ออกฤทธิ์แบบดูดซึม  (systemic)  ทั้งป้องกันและรักษาควบคุมโรคพืชที่เกิดจากเชื้อรา เป็นการออกฤทธิ์แบบยับยั้งการเจริญของเชื้อราได้ทั้งก่อนและหลังการติดเชื้อ (curative + preventive action),โรคกาบใบแห้ง โรคกาบใบไหม้ โรคกาบใบเน่า โรคใบขีด ใบจุดสีน้ำตาล โรคเมล็ดด่าง โรคถอดฝักดาบ โรคดอกกระถิน โรคเน่าคอรวง,นาข้าว            ไม้ผล,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ต้น ให้ทั่ว,นาข้าวพ่นในระยะข้าวแตกกอจนถึงเก็บเกี่ยว,ในไม้ผล(ทุเรียน) ใช้ 200 ซีซีต่อ 200 ลิตร ในนาข้าว ใช้ 80 ซีซีต่อไร่ ใช้ได้ตั้งแต่ระยะข้าวแตกกอไปจนถึงข้าวตั้งท้อง และเริ่มออกรวง,ปลอดภัยสูง,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//prochloraz_propiconazole_%E0%B8%A3%E0%B8%B5%E0%B9%82%E0%B8%99%E0%B9%80%E0%B8%A7%E0%B8%97_26062025_184834.pdf
-,34,7,,GIBBERELLIC ACID 20% ST,จิ๊บเม็ด 20 %,PGR,Standard,ST,เม็ด,,Systemic ออกฤทธิ์แบบดูดซึม ,PGR (Plants Growth Regulator) ช่วยล้างสาร ลดการตกค้างของสาร แพคโคบิวทราโซล  ลดการแตกใบอ่อน ช่วยยืดขนาดของความยาวช่อดอก,,,,,,,,สีน้ำเงิน,,,,,
17,-,4,แอสไปร์,LUFENURON 5% W/V EC,ลูเฟนูรอน,Insecticide,Skyrocket,EC,น้ำ,ใช้ร่วมกับ ไฮซีส เพื่อเพิ่มประสิทธิภาพในการกำจัดแมลงได้ดีขึ้น มีคุณสมบัติในการคุมไข่ ของแมลง ทำให้ลดการระบาดได้เร็ว คุมได้นาน และลดโอกาศการดื้อยาของแมลงได้ดี,Systemic ออกฤทธิ์แบบดูดซึม ,15 : Inhibitors of chitin biosynthesis affecting CHS1,เป็นสารกำจัดแมลงกลุ่ม IGR คือรบกวนการเจริญเติบโตของแมลงต่างๆ โดยยับยั้งการสร้าง ไคติน ทำให้แมลงลอกคราบเพื่อเจริญเติบโตต่อไม่ได้,นาข้าว : ใช้ป้องกันกำจัด ตระกูลหนอนในนาข้าว เช่น หนอนม้วนใบข้าว หนอนกอ หนอนปลอก หนอนกระทู้คอรวง    ข้าวโพด : ใช้ป้องกันกำจัดหนอนกระทู้ข้าวโพดลายจุด   ไม้ผล : ใช้กำจัด หนอนตระกูลต่างๆ เช่น หนอนคืบ หนอนกัดใบ หนอนเจาะดอก หนอนเจาะผล,ปลอดภัยใช้ได้ทุกพืช,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ต้น ให้ทั่วบริเวณทรงพุ่ม,ป้องกันหนอนและแมลงได้ใน ทุกระยะ เช่น ระยะแตกใบอ่อน ระยะดอก ระยะติดผล,100-200 ซีซี ต่อน้ำ 200 ลิตร,ปลอดภัย,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//lufenuron%205%20EC_%E0%B9%81%E0%B8%AD%E0%B8%AA%E0%B9%84%E0%B8%9B%E0%B8%A3%E0%B9%8C_26112020_111102.pdf
14,-,5,แมสฟอร์ด ,PIRIMIPHOS-METHYL 50% W/V EC,พิริมิฟอส-เมทิล,Insecticide,Standard,EC,น้ำ,EC สูตรเย็น จากน้ำมันละหุ่ง ปลอดภัยออกฤทธิ์ 3 ทาง คือ สัมผัสตาย กินตาย และมีไอระเหย จึงสามารถกำจัดเพลี้ยแป้งได้ดี,Systemic ออกฤทธิ์แบบดูดซึม ,1B : Organophosphates (Nerve & Muscle) ,ออกฤทธิ์ทั้งแบบสัมผัสตาย กินตาย และมีไอระเหย ออกฤทธิ์กำจัดแมลงได้ดี,เพลี้ยไฟ เพลี้ยแป้ง เพลี้ยหอย,ปลอดภัยใช้ได้ทุกพืช,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ต้น ให้ทั่วบริเวณทรงพุ่ม,ป้องกันหนอนและแมลงได้ใน ทุกระยะ เช่น ระยะแตกใบอ่อน ระยะดอก ระยะติดผล,200-300 ซีซี ต่อน้ำ 200 ลิตร,ปลอดภัย,สีเหลือง,,,,,http://system.icpladda.com/CDN//pirimiphos%2050%20EC_%E0%B9%81%E0%B8%A1%E0%B8%AA%E0%B8%9F%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94%20%E0%B8%AB%E0%B8%A1%E0%B8%94%202574_18062025_132720.pdf
27,-,5,โซนิก,PRETILACHLOR 30% W/V EC,เพรทิลาคลอร์,Herbicide,Natural,EC,น้ำ, 1. การออกฤทธิ์แบบดูดซึม: สารนี้ถูกดูดซึมผ่านรากและยอดอ่อนของวัชพืชที่กำลังงอกใหม่ ทำให้หยุดการเจริญเติบโตและตายในที่สุด 2. สามารถใช้ก่อนวัชพืชงอก (pre-emergence) ในข้าวนาหว่านน้ำตม โดยพ่นสารหลังหว่านข้าว 0-4 วัน ,Systemic ออกฤทธิ์แบบดูดซึม ,K3 : Inhibition of Very Long-Chain Fatty Acid Synthesis,การออกฤทธิ์แบบดูดซึม: สารนี้สามารถดูดซึมผ่านรากและใบของวัชพืช หลังการใช้ วัชพืชจะหยุดการเจริญเติบโต และตายในที่สุด ,ประสิทธิภาพในการควบคุมวัชพืชใบแคบ เช่น หญ้าข้าวนก หญ้าดอกขาว และหญ้านกสีชมพู รวมถึงวัชพืชใบกว้าง เช่น ผักปอดนา และวัชพืชประเภทกก เช่น หนวดปลาดุก กกขนาก และกกทราย ,นาข้าว,ผสมน้ำฉีดพ่นบริเวณที่หน้าผิวดินให้ทั่วถึง และสม่ำเสมอ,ใช้ก่อนวัชพืชงอก (pre-emergence) ในข้าวนาหว่านน้ำตม โดยพ่นสารหลังหว่านข้าว 1-4 วัน และทดน้ำเข้านาหลังพ่นสาร 2-3 วัน,200-250 ซีซีต่อไร่,ความปลอดภัยต่อข้าวปลูก: สูตรผสมพิเศษที่มีสารเสริมความปลอดภัย (safener) ช่วยลดความเสี่ยงที่ข้าวจะเกิดอาการใบแดง การเจริญเติบโตชะงัก หรือหน่อหงิกงอ,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//pretilachlor%2030%20EC_%E0%B9%82%E0%B8%8B%E0%B8%99%E0%B8%B4%E0%B8%81_23072021_142948.pdf
